SpeciesName,Megaclass,Superclass,Class,Subclass,Infraclass,Megacohort,Supercohort,Cohort,Subcohort,Infracohort,Section,Subsection,Division,Subdivision,Series,Subseries,Superorder,Order,Suborder,Infraorder,Family,Genus
Aplodactylus_etheridgii,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Centrarchiformes,Cirrhitoidei,,Aplodactylidae,Aplodactylus
Aplodactylus_arctidens,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Centrarchiformes,Cirrhitoidei,,Aplodactylidae,Aplodactylus
Asterorhombus_filifer,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Pleuronectiformes,Pleuronectoidei,,Bothidae,Asterorhombus
Arnoglossus_scapha,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Pleuronectiformes,Pleuronectoidei,,Bothidae,Arnoglossus
Bassanago_bulbiceps,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Congridae,Bassanago
Conger_verreauxi,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Congridae,Conger
Epigonus_robustus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Pempheriformes,,,Epigonidae,Epigonus
Epigonus_denticulatus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Pempheriformes,,,Epigonidae,Epigonus
Aldrovandia_affinis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Notacanthiformes,,,Halosauridae,Aldrovandia
Halosauropsis_macrochir,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Notacanthiformes,,,Halosauridae,Halosauropsis
